study_id,year,citations,category,duplicate,conducted 30/01/2025,,,
PRISMA_acupuncture_BMC.Complementary.and.Alternative.Medicine,2022,10,topical,no,,,,
PRISMA_acupuncture_BMC.Complementary.and.Alternative.Medicine,2021,10,topical,no,,,,
PRISMA_acupuncture_BMC.Complementary.and.Alternative.Medicine,2020,4,topical,no,,,,
PRISMA_acupuncture_BMC.Complementary.and.Alternative.Medicine,2019,1,topical,no,,,,
PRISMA_CHM_The.American.Journal.of.Chinese.Medicine,2024,13,topical,no,,,,
PRISMA_CHM_The.American.Journal.of.Chinese.Medicine,2023,18,topical,no,,,,
PRISMA_CHM_The.American.Journal.of.Chinese.Medicine,2022,19,topical,no,,,,
PRISMA_CHM_The.American.Journal.of.Chinese.Medicine,2021,11,topical,no,,,,
PRISMA_CHM_The.American.Journal.of.Chinese.Medicine,2020,2,topical,no,,,,
PRISMA_complex_statement_Journal.of.Clinical.Epidemiology,2024,7,topical,no,,,,
PRISMA_complex_statement_Journal.of.Clinical.Epidemiology,2023,5,topical,no,,,,
PRISMA_complex_statement_Journal.of.Clinical.Epidemiology,2022,10,topical,no,,,,
PRISMA_complex_statement_Journal.of.Clinical.Epidemiology,2021,15,topical,no,,,,
PRISMA_complex_statement_Journal.of.Clinical.Epidemiology,2020,10,topical,no,,,,
PRISMA_complex_statement_Journal.of.Clinical.Epidemiology,2019,5,topical,no,,,,
PRISMA_complex_statement_Journal.of.Clinical.Epidemiology,2018,3,topical,no,,,,
PRISMA_complex_statement_Journal.of.Clinical.Epidemiology,2017,4,topical,no,,,,
PRISMA_complex_elaboration_Journal.of.Clinical.Epidemiology,2024,3,topical,no,,,,
PRISMA_complex_elaboration_Journal.of.Clinical.Epidemiology,2023,5,topical,no,,,,
PRISMA_complex_elaboration_Journal.of.Clinical.Epidemiology,2022,6,topical,no,,,,
PRISMA_complex_elaboration_Journal.of.Clinical.Epidemiology,2021,4,topical,no,,,,
PRISMA_complex_elaboration_Journal.of.Clinical.Epidemiology,2020,6,topical,no,,,,
PRISMA_complex_elaboration_Journal.of.Clinical.Epidemiology,2019,1,topical,no,,,,
PRISMA_complex_elaboration_Journal.of.Clinical.Epidemiology,2018,3,topical,no,,,,
PRISMA_complex_elaboration_Journal.of.Clinical.Epidemiology,2017,4,topical,no,,,,
PRISMA_COSMIN_elaboration_Quality.of.Life.Research,2024,5,topical,no,,,,
PRISMA_COSMIN_elaboration_Health.and.Quality.of.Life.Outcomes,2025,2,topical,no,,,,
PRISMA_COSMIN_elaboration_Health.and.Quality.of.Life.Outcomes,2024,1,topical,no,,,,
PRISMA_COSMIN_elaboration_Journal.of.Clinical.Epidemiology,2025,2,topical,no,,,,
PRISMA_COSMIN_elaboration_Journal.of.Clinical.Epidemiology,2024,1,topical,no,PRISMA_COSMIN_development_Research.Involvement.and.Engagement,10.1186/s40900-024-00563-5,,need to find 
PRISMA_COSMIN_elaboration_Journal.of.Patient.Reported.Outcomes,2024,1,topical,no,,,,
PRISMA_DTA_statement_JAMA,2025,23,methodological,no,,,,
PRISMA_DTA_statement_JAMA,2024,355,methodological,no,,,,
PRISMA_DTA_statement_JAMA,2023,352,methodological,no,,,,
PRISMA_DTA_statement_JAMA,2022,366,methodological,no,,,,
PRISMA_DTA_statement_JAMA,2021,369,methodological,no,,,,
PRISMA_DTA_statement_JAMA,2020,264,methodological,no,,,,
PRISMA_DTA_statement_JAMA,2019,156,methodological,no,,,,
PRISMA_DTA_statement_JAMA,2018,25,methodological,no,,,,
PRISMA_DTA_elaboration_BMJ,2025,10,methodological,no,,,,
PRISMA_DTA_elaboration_BMJ,2024,108,methodological,no,,,,
PRISMA_DTA_elaboration_BMJ,2023,118,methodological,no,,,,
PRISMA_DTA_elaboration_BMJ,2022,83,methodological,no,,,,
PRISMA_DTA_elaboration_BMJ,2021,34,methodological,no,,,,
PRISMA_DTA_abstract_BMJ,2025,4,methodological,no,,,,
PRISMA_DTA_abstract_BMJ,2024,11,methodological,no,,,,
PRISMA_DTA_abstract_BMJ,2023,14,methodological,no,,,,
PRISMA_DTA_abstract_BMJ,2022,10,methodological,no,,,,
PRISMA_ecoevo_elaboration_Biological.Reviews,2025,4,topical,no,,,,
PRISMA_ecoevo_elaboration_Biological.Reviews,2024,102,topical,no,,,,
PRISMA_ecoevo_elaboration_Biological.Reviews,2023,86,topical,no,,,,
PRISMA_ecoevo_elaboration_Biological.Reviews,2022,57,topical,no,,,,
PRISMA_ecoevo_elaboration_Biological.Reviews,2021,4,topical,no,,,,
PRISMA_equity_statement_PLOS.Medicine,2025,2,topical,no,,,,
PRISMA_equity_statement_PLOS.Medicine,2024,31,topical,no,,,,
PRISMA_equity_statement_PLOS.Medicine,2023,47,topical,no,,,,
PRISMA_equity_statement_PLOS.Medicine,2022,60,topical,no,,,,
PRISMA_equity_statement_PLOS.Medicine,2021,45,topical,no,,,,
PRISMA_equity_statement_PLOS.Medicine,2020,43,topical,no,,,,
PRISMA_equity_statement_PLOS.Medicine,2019,37,topical,no,,,,
PRISMA_equity_statement_PLOS.Medicine,2018,26,topical,no,,,,
PRISMA_equity_statement_PLOS.Medicine,2017,35,topical,no,,,,
PRISMA_equity_statement_PLOS.Medicine,2016,33,topical,no,,,,
PRISMA_equity_statement_PLOS.Medicine,2015,36,topical,no,,,,
PRISMA_equity_statement_PLOS.Medicine,2014,23,topical,no,,,,
PRISMA_equity_statement_PLOS.Medicine,2013,17,topical,no,,,,
PRISMA_equity_statement_PLOS.Medicine,2012,1,topical,no,,,,
PRISMA_equity_elaboration_International.Journal.for.Equity.in.Health,2024,1,topical,no,,,,
PRISMA_equity_elaboration_International.Journal.for.Equity.in.Health,2023,2,topical,no,,,,
PRISMA_equity_elaboration_International.Journal.for.Equity.in.Health,2021,1,topical,no,,,,
PRISMA_equity_elaboration_International.Journal.for.Equity.in.Health,2020,2,topical,no,,,,
PRISMA_equity_elaboration_International.Journal.for.Equity.in.Health,2019,1,topical,no,,,,
PRISMA_equity_elaboration_International.Journal.for.Equity.in.Health,2018,2,topical,no,,,,
PRISMA_equity_elaboration_Journal.of.Development.Effectiveness,2025,1,topical,no,,,,
PRISMA_equity_elaboration_Journal.of.Development.Effectiveness,2024,14,topical,no,,,,
PRISMA_equity_elaboration_Journal.of.Development.Effectiveness,2023,29,topical,no,,,,
PRISMA_equity_elaboration_Journal.of.Development.Effectiveness,2022,33,topical,no,,,,
PRISMA_equity_elaboration_Journal.of.Development.Effectiveness,2021,23,topical,no,,,,
PRISMA_equity_elaboration_Journal.of.Development.Effectiveness,2020,18,topical,no,,,,
PRISMA_equity_elaboration_Journal.of.Development.Effectiveness,2019,18,topical,no,,,,
PRISMA_equity_elaboration_Journal.of.Development.Effectiveness,2018,8,topical,no,,,,
PRISMA_equity_elaboration_Journal.of.Development.Effectiveness,2017,5,topical,no,,,,
PRISMA_equity_elaboration_Journal.of.Development.Effectiveness,2016,3,topical,no,,,,
PRISMA_equity_elaboration_Journal.of.Clinical.Epidemiology,2024,10,topical,no,,,,
PRISMA_equity_elaboration_Journal.of.Clinical.Epidemiology,2023,6,topical,no,,,,
PRISMA_equity_elaboration_Journal.of.Clinical.Epidemiology,2022,9,topical,no,,,,
PRISMA_equity_elaboration_Journal.of.Clinical.Epidemiology,2021,13,topical,no,,,,
PRISMA_equity_elaboration_Journal.of.Clinical.Epidemiology,2020,11,topical,no,,,,
PRISMA_equity_elaboration_Journal.of.Clinical.Epidemiology,2019,18,topical,no,,,,
PRISMA_equity_elaboration_Journal.of.Clinical.Epidemiology,2018,12,topical,no,,,,
PRISMA_equity_elaboration_Journal.of.Clinical.Epidemiology,2017,7,topical,no,,,,
PRISMA_equity_elaboration_Journal.of.Clinical.Epidemiology,2016,4,topical,no,,,,
PRISMA_harms_statement_BMJ,2024,37,topical,no,,,,
PRISMA_harms_statement_BMJ,2023,49,topical,no,,,,
PRISMA_harms_statement_BMJ,2022,49,topical,no,,,,
PRISMA_harms_statement_BMJ,2021,70,topical,no,,,,
PRISMA_harms_statement_BMJ,2020,47,topical,no,,,,
PRISMA_harms_statement_BMJ,2019,39,topical,no,,,,
PRISMA_harms_statement_BMJ,2018,24,topical,no,,,,
PRISMA_harms_statement_BMJ,2017,23,topical,no,,,,
PRISMA_harms_statement_BMJ,2016,6,topical,no,,,,
PRISMA_IPD_statement_JAMA,2025,12,methodological,no,,,,
PRISMA_IPD_statement_JAMA,2024,185,methodological,no,,,,
PRISMA_IPD_statement_JAMA,2023,212,methodological,no,,,,
PRISMA_IPD_statement_JAMA,2022,234,methodological,no,,,,
PRISMA_IPD_statement_JAMA,2021,209,methodological,no,,,,
PRISMA_IPD_statement_JAMA,2020,179,methodological,no,,,,
PRISMA_IPD_statement_JAMA,2019,161,methodological,no,,,,
PRISMA_IPD_statement_JAMA,2018,124,methodological,no,,,,
PRISMA_IPD_statement_JAMA,2017,87,methodological,no,,,,
PRISMA_IPD_statement_JAMA,2016,47,methodological,no,,,,
PRISMA_IPD_statement_JAMA,2015,12,methodological,no,,,,
PRISMA_moxibustion_Systematic.Reviews,2024,1,topical,no,,,,
PRISMA_moxibustion_Systematic.Reviews,2023,2,topical,no,,,,
PRISMA_moxibustion_Systematic.Reviews,2022,4,topical,no,,,,
PRISMA_moxibustion_Systematic.Reviews,2021,1,topical,no,,,,
PRISMA_NMA_Annals.of.Internal.Medicine,2025,71,methodological,no,,,,
PRISMA_NMA_Annals.of.Internal.Medicine,2024,873,methodological,no,,,,
PRISMA_NMA_Annals.of.Internal.Medicine,2023,805,methodological,no,,,,
PRISMA_NMA_Annals.of.Internal.Medicine,2022,855,methodological,no,,,,
PRISMA_NMA_Annals.of.Internal.Medicine,2021,778,methodological,no,,,,
PRISMA_NMA_Annals.of.Internal.Medicine,2020,531,methodological,no,,,,
PRISMA_NMA_Annals.of.Internal.Medicine,2019,383,methodological,no,,,,
PRISMA_NMA_Annals.of.Internal.Medicine,2018,285,methodological,no,,,,
PRISMA_NMA_Annals.of.Internal.Medicine,2017,175,methodological,no,,,,
PRISMA_NMA_Annals.of.Internal.Medicine,2016,100,methodological,no,,,,
PRISMA_NMA_Annals.of.Internal.Medicine,2015,15,methodological,no,,,,
PRISMA_protocol_statement_Systematic.Reviews,2025,679,methodological,no,,,,
PRISMA_protocol_statement_Systematic.Reviews,2024,12260,methodological,no,,,,
PRISMA_protocol_statement_Systematic.Reviews,2023,14298,methodological,no,,,,
PRISMA_protocol_statement_Systematic.Reviews,2022,18486,methodological,no,,,,
PRISMA_protocol_statement_Systematic.Reviews,2021,20677,methodological,no,,,,
PRISMA_protocol_statement_Systematic.Reviews,2020,17159,methodological,no,,,,
PRISMA_protocol_statement_Systematic.Reviews,2019,11962,methodological,no,,,,
PRISMA_protocol_statement_Systematic.Reviews,2018,9151,methodological,no,,,,
PRISMA_protocol_statement_Systematic.Reviews,2017,7559,methodological,no,,,,
PRISMA_protocol_statement_Systematic.Reviews,2016,5967,methodological,no,,,,
PRISMA_protocol_statement_Systematic.Reviews,2015,4280,methodological,no,,,,
PRISMA_protocol_statement_Systematic.Reviews,2014,3010,methodological,no,,,,
PRISMA_protocol_statement_Systematic.Reviews,2013,2062,methodological,no,,,,
PRISMA_protocol_statement_Systematic.Reviews,2012,1239,methodological,no,,,,
PRISMA_protocol_statement_Systematic.Reviews,2011,675,methodological,no,,,,
PRISMA_protocol_statement_Systematic.Reviews,2010,229,methodological,no,,,,
PRISMA_protocol_statement_Systematic.Reviews,2009,19,methodological,no,,,,
PRISMA_protocol_elaboration_BMJ,2025,34,methodological,no,,,,
PRISMA_protocol_elaboration_BMJ,2024,671,methodological,no,,,,
PRISMA_protocol_elaboration_BMJ,2023,296,methodological,no,,,,
PRISMA_protocol_elaboration_BMJ,2022,584,methodological,no,,,,
PRISMA_protocol_elaboration_BMJ,2021,625,methodological,no,,,,
PRISMA_protocol_elaboration_BMJ,2020,78,methodological,no,,,,
PRISMA_protocol_elaboration_BMJ,2019,15,methodological,no,,,,
PRISMA_protocol_elaboration_BMJ,2018,6,methodological,no,,,,
PRISMA_protocol_elaboration_BMJ,2017,3,methodological,no,,,,
PRISMA_protocol_elaboration_BMJ,2015,1,methodological,no,,,,
PRISMA_scoping_elaboration_Annals.of.Internal.Medicine,2025,414,methodological,no,,,,
PRISMA_scoping_elaboration_Annals.of.Internal.Medicine,2024,5231,methodological,no,,,,
PRISMA_scoping_elaboration_Annals.of.Internal.Medicine,2023,4164,methodological,no,,,,
PRISMA_scoping_elaboration_Annals.of.Internal.Medicine,2022,3423,methodological,no,,,,
PRISMA_scoping_elaboration_Annals.of.Internal.Medicine,2021,2104,methodological,no,,,,
PRISMA_scoping_elaboration_Annals.of.Internal.Medicine,2020,1019,methodological,no,,,,
PRISMA_scoping_elaboration_Annals.of.Internal.Medicine,2019,314,methodological,no,,,,
PRISMA_scoping_elaboration_Annals.of.Internal.Medicine,2018,6,methodological,no,,,,
PRISMA_search_statement_Systematic.Review,2025,30,methodological,no,,,,
PRISMA_search_statement_Systematic.Review,2024,450,methodological,no,,,,
PRISMA_search_statement_Systematic.Review,2023,373,methodological,no,,,,
PRISMA_search_statement_Systematic.Review,2022,281,methodological,no,,,,
PRISMA_search_statement_Systematic.Review,2021,74,methodological,no,,,,
SWIM_review_without_ma_BMJ,2025,40,methodological,no,,,,
SWIM_review_without_ma_BMJ,2024,515,methodological,no,,,,
SWIM_review_without_ma_BMJ,2023,488,methodological,no,,,,
SWIM_review_without_ma_BMJ,2022,396,methodological,no,,,,
SWIM_review_without_ma_BMJ,2021,238,methodological,no,,,,
SWIM_review_without_ma_BMJ,2020,58,methodological,no,,,,
OoSRs_Journal.of.Clinical.Epidemiology,2024,27,methodological,no,,,,
OoSRs_Journal.of.Clinical.Epidemiology,2023,39,methodological,no,,,,
OoSRs_Journal.of.Clinical.Epidemiology,2022,44,methodological,no,,,,
OoSRs_Journal.of.Clinical.Epidemiology,2021,25,methodological,no,,,,
OoSRs_Journal.of.Clinical.Epidemiology,2020,22,methodological,no,,,,
OoSRs_Journal.of.Clinical.Epidemiology,2019,14,methodological,no,,,,
OoSRs_Journal.of.Clinical.Epidemiology,2018,2,methodological,no,,,,
